,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
0,1.55,11.36,13850000000.0,3.20,54.36,2011-08-02 06:45:37,-2.492012938976888,2.52,11.89,85.20,13850000000.0,11.89,2.25,12.44,2930000000.0,0.25,82.10,13850000000.0,89000000.0,14.80,0.63,40.0,3.71,2.38,14.46,6.94,27.00,2.25,31.90,17.77,1254.050049,436000.00000000006,1.40,1.20,underperform,a,2980000000.0,8.55,2150000000.0,16.18,1312281937.0,10.867012938976892,8.375000000000004
1,1.66,15.41,1320000000.0,2.55,44.12,2013-05-14 00:28:58,-31.13444021364713,3.13,10.75,22.20,15060000000.0,10.75,2.18,13.08,3600000000.0,0.23,83.20,15060000000.0,1100000000.0,15.69,2.07,43.0,2.83,2.19,15.96,6.85,22.38,2.18,2.80,19.85,1650.339966,437000.0,1.30,1.20,underperform,a,2450000000.0,7.06,2360000000.0,13.75,1368505738.0,45.90188207411225,14.76744186046512
2,1.81,14.46,1260000000.0,2.96,56.39,2013-09-06 06:09:52,-24.307618993936007,2.69,11.93,30.90,15860000000.0,11.93,2.32,15.09,3600000000.0,0.23,83.50,15860000000.0,93800000.0,14.04,2.16,47.0,3.31,2.32,13.73,5.98,19.41,2.32,4.10,19.80,1655.170044,278000.0,0.80,1.20,underperform,a,2330000000.0,7.04,2700000000.0,17.74,1378462192.0,46.32889558968069,22.021276595744684
3,1.808,14.078,2530000000.0,1.374,0.595,2004-04-13 04:20:10,0.0,1.375,10.8,53.70,36340000000.0,10.8,1.65,12.98,4019999999.9999995,1.00,79.36,29780000000.0,1190000000.0,8.44,1.26,34.26,2.41,1.33,6.40,4.52,10.66,1.65,11.40,25.638,1129.439941,1254000.0,1.46,2.497,underperform,aa,45900000.0,0.53,7310000000.0,24.92,1081844410.0,0.0,0.0
4,1.676,14.049,1780000000.0,1.372,0.561,2004-09-09 16:15:45,-3.1861590807703393,1.575,9.7,53.70,35240000000.0,9.7,1.56,12.75,4019999999.9999995,1.00,76.64,28610000000.0,1370000000.0,9.46,1.43,32.89,2.34,1.26,7.04,5.08,11.87,1.56,11.40,25.984,1118.380005,778000.0,0.90,1.935,underperform,aa,46600000.0,0.54,6880000000.0,20.88,1094760945.0,-0.9792407368033841,-4.165399817573723
5,1.736,14.36,2140000000.0000002,1.293,0.53,2004-11-24 10:37:20,-6.657405431420965,1.588,9.53,53.70,35370000000.0,9.53,1.52,13.49,4019999999.9999995,1.04,77.19,29230000000.0,1390000000.0,9.57,1.47,33.58,2.34,1.26,7.01,5.13,11.58,1.52,11.40,26.536,1181.76001,991000.0,1.15,2.209,underperform,aa,56100000.0,0.64,6650000000.0,21.15,1101310640.0,4.6323905416056,-2.0250148898153655
6,1.736,14.36,2140000000.0000002,1.293,0.53,2004-12-05 00:36:42,-9.651668000903804,1.588,9.36,53.70,34750000000.0,9.36,1.49,13.20,4019999999.9999995,1.04,77.11,28600000000.0,1390000000.0,9.57,1.50,32.86,2.33,1.25,7.01,5.13,11.58,1.49,11.40,26.536,1190.329956,991000.0,1.15,2.209,underperform,aa,56100000.0,0.64,6650000000.0,20.69,1102225002.0,5.391168913867899,-4.260499087035906
7,1.611,15.207,2140000000.0000002,1.322,0.457,2005-01-13 07:18:32,-20.66260492334135,1.597,8.57,53.70,31510000000.0,8.57,1.34,11.96,4019999999.9999995,1.04,77.16,25630000000.0,1400000000.0,9.39,1.12,29.43,1.95,1.10,7.02,5.12,11.17,1.34,11.40,26.757,1177.449951,1281000.0,1.49,2.918,underperform,aa,45700000.0,0.52,6080000000.0,18.43,1105618712.0,4.250780254635953,-16.411824668705396
8,1.611,15.207,2140000000.0000002,1.322,0.457,2005-02-07 03:48:37,-23.049277158703358,1.60,8.5,53.70,31260000000.0,8.5,1.33,11.89,4019999999.9999995,1.04,75.67,25580000000.0,1400000000.0,9.39,1.39,29.37,1.92,1.08,7.02,5.12,11.17,1.33,11.40,26.757,1201.719971,1184000.0,1.37,1.892,underperform,aa,45700000.0,0.52,6080000000.0,18.39,1107766117.0,6.399634666364247,-16.64964249233911
9,2.28,14.66,20950000000.0,1.36,48.26,2011-09-03 09:21:23,-193.41986105262055,0.87,6.18,136.80,20950000000.0,6.18,0.89,8.60,3840000000.0,0.09,59.60,20950000000.0,94900000.0,8.20,0.28,12.0,0.85,0.57,4.04,3.05,6.55,0.89,27.00,22.58,1218.890015,5373000.0,5.10,1.90,underperform,aa,1270000000.0,1.19,9350000000.0,13.78,1315056083.0,7.919861052620579,-185.49999999999997
